Region,Country,City,Month,Day,Year,AvgTemperature
Africa,Central African Republic,Bangui,1,21,2020,79.5
Africa,Central African Republic,Bangui,1,22,2020,78.1
Africa,Central African Republic,Bangui,1,23,2020,77.7
Africa,Central African Republic,Bangui,1,24,2020,76.1
Africa,Central African Republic,Bangui,1,25,2020,76.7
Africa,Central African Republic,Bangui,1,26,2020,76.7
Africa,Central African Republic,Bangui,1,27,2020,78.2
Africa,Central African Republic,Bangui,1,28,2020,79.4
Africa,Central African Republic,Bangui,1,29,2020,82
Africa,Central African Republic,Bangui,1,30,2020,80.9
Africa,Central African Republic,Bangui,1,31,2020,79.8
Africa,Central African Republic,Bangui,2,1,2020,78.3
Africa,Central African Republic,Bangui,2,2,2020,79.4
Africa,Central African Republic,Bangui,2,3,2020,80.9
Africa,Central African Republic,Bangui,2,4,2020,76.7
Africa,Central African Republic,Bangui,2,5,2020,77.5
Africa,Central African Republic,Bangui,2,6,2020,79.8
Africa,Central African Republic,Bangui,2,7,2020,82.2
Africa,Central African Republic,Bangui,2,8,2020,84.9
Africa,Central African Republic,Bangui,2,9,2020,84.3
Africa,Central African Republic,Bangui,2,10,2020,84.6
Africa,Central African Republic,Bangui,2,11,2020,81.4
Africa,Central African Republic,Bangui,2,12,2020,80.1
Africa,Central African Republic,Bangui,2,13,2020,81
Africa,Central African Republic,Bangui,2,14,2020,80.6
Africa,Central African Republic,Bangui,2,15,2020,82.8
Africa,Central African Republic,Bangui,2,16,2020,82.2
Africa,Central African Republic,Bangui,2,17,2020,84.1
Africa,Central African Republic,Bangui,2,18,2020,83.2
Africa,Central African Republic,Bangui,2,19,2020,85.8
Africa,Central African Republic,Bangui,2,20,2020,86
Africa,Central African Republic,Bangui,2,21,2020,83.2
Africa,Central African Republic,Bangui,2,22,2020,83.2
Africa,Central African Republic,Bangui,2,23,2020,87.5
Africa,Central African Republic,Bangui,2,24,2020,87.4
Africa,Central African Republic,Bangui,2,25,2020,86
Africa,Central African Republic,Bangui,2,26,2020,77.5
Africa,Central African Republic,Bangui,2,27,2020,84
Africa,Central African Republic,Bangui,2,28,2020,85.4
Africa,Central African Republic,Bangui,2,29,2020,85.9
Africa,Central African Republic,Bangui,3,1,2020,80
Africa,Central African Republic,Bangui,3,2,2020,80.7
Africa,Central African Republic,Bangui,3,3,2020,83.6
Africa,Central African Republic,Bangui,3,4,2020,86
Africa,Central African Republic,Bangui,3,5,2020,85.7
Africa,Central African Republic,Bangui,3,6,2020,82.6
Africa,Central African Republic,Bangui,3,7,2020,83.2
Africa,Central African Republic,Bangui,3,8,2020,84.8
Africa,Central African Republic,Bangui,3,9,2020,84.3
Africa,Central African Republic,Bangui,3,10,2020,88.2
Africa,Central African Republic,Bangui,3,11,2020,78.9
Africa,Central African Republic,Bangui,3,12,2020,79.6
Africa,Central African Republic,Bangui,3,13,2020,84
Africa,Central African Republic,Bangui,3,14,2020,88
Africa,Central African Republic,Bangui,3,15,2020,86.7
Africa,Central African Republic,Bangui,3,16,2020,87.3
Africa,Central African Republic,Bangui,3,17,2020,84.5
Africa,Central African Republic,Bangui,3,18,2020,85.1
Africa,Central African Republic,Bangui,3,19,2020,84
Africa,Central African Republic,Bangui,3,20,2020,80.2
Africa,Central African Republic,Bangui,3,21,2020,79.1
Africa,Central African Republic,Bangui,3,22,2020,83.3
Africa,Central African Republic,Bangui,3,23,2020,86.5
Africa,Central African Republic,Bangui,3,24,2020,76.5
Africa,Central African Republic,Bangui,3,25,2020,81.5
Africa,Central African Republic,Bangui,3,26,2020,83.8
Africa,Central African Republic,Bangui,3,27,2020,84.9
Africa,Central African Republic,Bangui,3,28,2020,83.2
Africa,Central African Republic,Bangui,3,29,2020,79.8
Africa,Central African Republic,Bangui,3,30,2020,82.5
Africa,Central African Republic,Bangui,3,31,2020,84.3
Africa,Central African Republic,Bangui,4,1,2020,87.8
Africa,Central African Republic,Bangui,4,2,2020,89.1
Africa,Central African Republic,Bangui,4,3,2020,78.8
Africa,Central African Republic,Bangui,4,4,2020,78.9
Africa,Central African Republic,Bangui,4,5,2020,80.8
Africa,Central African Republic,Bangui,4,6,2020,83
Africa,Central African Republic,Bangui,4,7,2020,82.9
Africa,Central African Republic,Bangui,4,8,2020,79.6
Africa,Central African Republic,Bangui,4,9,2020,78.5
Africa,Central African Republic,Bangui,4,10,2020,82.7
Africa,Central African Republic,Bangui,4,11,2020,73
Africa,Central African Republic,Bangui,4,12,2020,76.9
Africa,Central African Republic,Bangui,4,13,2020,81
Africa,Central African Republic,Bangui,4,14,2020,83.4
Africa,Central African Republic,Bangui,4,15,2020,85.2
Africa,Central African Republic,Bangui,4,16,2020,83.2
Africa,Central African Republic,Bangui,4,17,2020,81.1
Africa,Central African Republic,Bangui,4,18,2020,82
Africa,Central African Republic,Bangui,4,19,2020,80.6
Africa,Central African Republic,Bangui,4,20,2020,81.4
Africa,Central African Republic,Bangui,4,21,2020,81.1
Africa,Central African Republic,Bangui,4,22,2020,81.1
Africa,Central African Republic,Bangui,4,23,2020,77.5
Africa,Central African Republic,Bangui,4,24,2020,81.8
Africa,Central African Republic,Bangui,4,25,2020,84.1
Africa,Central African Republic,Bangui,4,26,2020,81.1
Africa,Central African Republic,Bangui,4,27,2020,75.9
Africa,Central African Republic,Bangui,4,28,2020,79.8
Africa,Central African Republic,Bangui,4,29,2020,82.6
Africa,Central African Republic,Bangui,4,30,2020,82.5
Africa,Central African Republic,Bangui,5,1,2020,80.9
Africa,Central African Republic,Bangui,5,2,2020,79.4
Africa,Central African Republic,Bangui,5,3,2020,84.4
Africa,Central African Republic,Bangui,5,4,2020,84.5
Africa,Central African Republic,Bangui,5,5,2020,77.9
Africa,Central African Republic,Bangui,5,6,2020,79.9
Africa,Central African Republic,Bangui,5,7,2020,78.1
Africa,Central African Republic,Bangui,5,8,2020,82
Africa,Central African Republic,Bangui,5,9,2020,78.3
Africa,Central African Republic,Bangui,5,10,2020,80.7
Africa,Central African Republic,Bangui,5,11,2020,78.9
Africa,Central African Republic,Bangui,5,12,2020,80.5
Africa,Central African Republic,Bangui,5,13,2020,79.2
Africa,Congo,Brazzaville,1,1,2020,77.2
Africa,Congo,Brazzaville,1,2,2020,80.7
Africa,Congo,Brazzaville,1,3,2020,77.2
Africa,Congo,Brazzaville,1,4,2020,79.2
Africa,Congo,Brazzaville,1,5,2020,80.4
Africa,Congo,Brazzaville,1,6,2020,81.6
Africa,Congo,Brazzaville,1,7,2020,78.8
Africa,Congo,Brazzaville,1,8,2020,78
Africa,Congo,Brazzaville,1,9,2020,72.9
Africa,Congo,Brazzaville,1,10,2020,72.1
Africa,Congo,Brazzaville,1,11,2020,71.6
Africa,Congo,Brazzaville,1,12,2020,80.5
Africa,Congo,Brazzaville,1,13,2020,82.8
Africa,Congo,Brazzaville,1,14,2020,82.7
Africa,Congo,Brazzaville,1,15,2020,83.4
Africa,Congo,Brazzaville,1,16,2020,81.2
Africa,Congo,Brazzaville,1,17,2020,82.6
Africa,Congo,Brazzaville,1,18,2020,81.3
Africa,Congo,Brazzaville,1,19,2020,82
Africa,Congo,Brazzaville,1,20,2020,82.7
Africa,Congo,Brazzaville,1,21,2020,79.7
Africa,Congo,Brazzaville,1,22,2020,82.6
Africa,Congo,Brazzaville,1,23,2020,82.8
Africa,Congo,Brazzaville,1,24,2020,78.5
Africa,Congo,Brazzaville,1,25,2020,81.7
Africa,Congo,Brazzaville,1,26,2020,80.3
Africa,Congo,Brazzaville,1,27,2020,81.5
Africa,Congo,Brazzaville,1,28,2020,80.6
Africa,Congo,Brazzaville,1,29,2020,78.6
Africa,Congo,Brazzaville,1,30,2020,78.3
Africa,Congo,Brazzaville,1,31,2020,78.3
Africa,Congo,Brazzaville,2,1,2020,80.9
Africa,Congo,Brazzaville,2,2,2020,77.6
Africa,Congo,Brazzaville,2,3,2020,79.6
Africa,Congo,Brazzaville,2,4,2020,79.4
Africa,Congo,Brazzaville,2,5,2020,81.9
Africa,Congo,Brazzaville,2,6,2020,81.8
Africa,Congo,Brazzaville,2,7,2020,82.2
Africa,Congo,Brazzaville,2,8,2020,75.1
Africa,Congo,Brazzaville,2,9,2020,80.1
Africa,Congo,Brazzaville,2,10,2020,78.9
Africa,Congo,Brazzaville,2,11,2020,79
Africa,Congo,Brazzaville,2,12,2020,82.3
Africa,Congo,Brazzaville,2,13,2020,80.9
Africa,Congo,Brazzaville,2,14,2020,83.2
Africa,Congo,Brazzaville,2,15,2020,81.4
Africa,Congo,Brazzaville,2,16,2020,80
Africa,Congo,Brazzaville,2,17,2020,76.2
Africa,Congo,Brazzaville,2,18,2020,80.5
Africa,Congo,Brazzaville,2,19,2020,74.8
Africa,Congo,Brazzaville,2,20,2020,81.5
Africa,Congo,Brazzaville,2,21,2020,83.8
Africa,Congo,Brazzaville,2,22,2020,79.5
Africa,Congo,Brazzaville,2,23,2020,79.9
Africa,Congo,Brazzaville,2,24,2020,83.2
Africa,Congo,Brazzaville,2,25,2020,80.5
Africa,Congo,Brazzaville,2,26,2020,81.7
Africa,Congo,Brazzaville,2,27,2020,81.8
Africa,Congo,Brazzaville,2,28,2020,82.1
Africa,Congo,Brazzaville,2,29,2020,76.5
Africa,Congo,Brazzaville,3,1,2020,79.3
Africa,Congo,Brazzaville,3,2,2020,81.8
Africa,Congo,Brazzaville,3,3,2020,81.9
Africa,Congo,Brazzaville,3,4,2020,81.8
Africa,Congo,Brazzaville,3,5,2020,82.9
Africa,Congo,Brazzaville,3,6,2020,81.7
Africa,Congo,Brazzaville,3,7,2020,78.5
Africa,Congo,Brazzaville,3,8,2020,80.6
Africa,Congo,Brazzaville,3,9,2020,76.7
Africa,Congo,Brazzaville,3,10,2020,82
Africa,Congo,Brazzaville,3,11,2020,81
Africa,Congo,Brazzaville,3,12,2020,77.9
Africa,Congo,Brazzaville,3,13,2020,81.8
Africa,Congo,Brazzaville,3,14,2020,83.8
Africa,Congo,Brazzaville,3,15,2020,84.4
Africa,Congo,Brazzaville,3,16,2020,80.9
Africa,Congo,Brazzaville,3,17,2020,81.7
Africa,Congo,Brazzaville,3,18,2020,79.7
Africa,Congo,Brazzaville,3,19,2020,80.6
Africa,Congo,Brazzaville,3,20,2020,74
Africa,Congo,Brazzaville,3,21,2020,78.6
Africa,Congo,Brazzaville,3,22,2020,80.1
Africa,Congo,Brazzaville,3,23,2020,80.5
Africa,Congo,Brazzaville,3,24,2020,84.6
Africa,Congo,Brazzaville,3,25,2020,80.2
Africa,Congo,Brazzaville,3,26,2020,80.8
Africa,Congo,Brazzaville,3,27,2020,85.2
Africa,Congo,Brazzaville,3,28,2020,86.7
Africa,Congo,Brazzaville,3,29,2020,82.8
Africa,Congo,Brazzaville,3,30,2020,82.5
Africa,Congo,Brazzaville,3,31,2020,85.7
Africa,Congo,Brazzaville,4,1,2020,80.7
Africa,Congo,Brazzaville,4,2,2020,82.1
Africa,Congo,Brazzaville,4,3,2020,83.9
Africa,Congo,Brazzaville,4,4,2020,82
Africa,Congo,Brazzaville,4,5,2020,83.6
Africa,Congo,Brazzaville,4,6,2020,85.3
Africa,Congo,Brazzaville,4,7,2020,86.3
Africa,Congo,Brazzaville,4,8,2020,83.1
Africa,Congo,Brazzaville,4,9,2020,83.4
Africa,Congo,Brazzaville,4,10,2020,81.6
Africa,Congo,Brazzaville,4,11,2020,81.4
Africa,Congo,Brazzaville,4,12,2020,79.4
Africa,Congo,Brazzaville,4,13,2020,83.6
Africa,Congo,Brazzaville,4,14,2020,83.5
Africa,Congo,Brazzaville,4,15,2020,85.2
Africa,Congo,Brazzaville,4,16,2020,81.6
Africa,Congo,Brazzaville,4,17,2020,82
Africa,Congo,Brazzaville,4,18,2020,81.7
Africa,Congo,Brazzaville,4,19,2020,82.3
Africa,Congo,Brazzaville,4,20,2020,83.8
Africa,Congo,Brazzaville,4,21,2020,79
Africa,Congo,Brazzaville,4,22,2020,82.9
Africa,Congo,Brazzaville,4,23,2020,87
Africa,Congo,Brazzaville,4,24,2020,82.3
Africa,Congo,Brazzaville,4,25,2020,83.1
Africa,Congo,Brazzaville,4,26,2020,81.6
Africa,Congo,Brazzaville,4,27,2020,82.1
Africa,Congo,Brazzaville,4,28,2020,82.4
Africa,Congo,Brazzaville,4,29,2020,84.3
Africa,Congo,Brazzaville,4,30,2020,84.1
Africa,Congo,Brazzaville,5,1,2020,82.9
Africa,Congo,Brazzaville,5,2,2020,83
Africa,Congo,Brazzaville,5,3,2020,86.9
Africa,Congo,Brazzaville,5,4,2020,83.8
Africa,Congo,Brazzaville,5,5,2020,80.7
Africa,Congo,Brazzaville,5,6,2020,82.4
Africa,Congo,Brazzaville,5,7,2020,82.9
Africa,Congo,Brazzaville,5,8,2020,83.3
Africa,Congo,Brazzaville,5,9,2020,82.5
Africa,Congo,Brazzaville,5,10,2020,76.9
Africa,Congo,Brazzaville,5,11,2020,82.9
Africa,Congo,Brazzaville,5,12,2020,74.8
Africa,Egypt,Cairo,1,1,2020,57.1
Africa,Egypt,Cairo,1,2,2020,55.5
Africa,Egypt,Cairo,1,3,2020,52.8
Africa,Egypt,Cairo,1,4,2020,53
Africa,Egypt,Cairo,1,5,2020,53.5
Africa,Egypt,Cairo,1,6,2020,56.2
Africa,Egypt,Cairo,1,7,2020,54
Africa,Egypt,Cairo,1,8,2020,54.2
Africa,Egypt,Cairo,1,9,2020,53.2
